vandals.uidaho.edu 1 91
wormulon.cs.uidaho.edu 2 76
gmail.com 3 49
dataserver.(none) 4 19
M3L7Down.(none) 5 10
virtual.(none) 6 3
Glyph.(none) 7 3
Glyph.local 8 2
.(none) 9 1
