vandals.uidaho.edu 1 111
wormulon.cs.uidaho.edu 2 97
gmail.com 3 52
dataserver.(none) 4 19
M3L7Down.(none) 5 10
virtual.(none) 6 3
lions.dreamhost.com 7 3
Glyph.(none) 8 3
Glyph.local 9 2
.(none) 10 1
